name,price,img
صوص مكسيكي من كوهني - 250 مل,58.23,https://cf1.s3.souqcdn.com/item/2019/03/14/48/09/53/01/item_L_48095301_e59358e93f9b7.jpg
صلصة هويزن من فلاينج جوس، 200 مل,34.00,https://cf3.s3.souqcdn.com/item/2019/10/02/73/02/68/19/item_L_73026819_e0250f3776448.jpg
صلصة سريراتشا حارة جدا من فلاينج جوس، 730 مل,87.00,https://cf4.s3.souqcdn.com/item/2019/10/02/73/02/67/99/item_L_73026799_c4383edd0b07c.jpg
صلصة سريراتشا بالمايونيز من فلاينج جوس، 730 مل,87.00,https://cf2.s3.souqcdn.com/item/2019/10/02/73/02/67/74/item_L_73026774_d18c6ad7aa492.jpg
صلصة سريراتشا حارة جدا من فلاينج جوس، 200 مل,47.00,https://cf1.s3.souqcdn.com/item/2019/10/02/73/02/68/32/item_L_73026832_fedfc564a625f.jpg
صلصة سريراتشا حارة من فلاينج جوس، 200 مل,36.00,https://cf1.s3.souqcdn.com/item/2019/10/02/73/02/68/28/item_L_73026828_f79baf8fb4317.jpg
صوص اللحم من كوهني - 250 مل,62.07,https://cf3.s3.souqcdn.com/item/2019/03/14/48/09/52/09/item_L_48095209_56276facba982.jpg
صوص باربيكيو للفراخ من هاينز - 580 جم,60.00,https://cf2.s3.souqcdn.com/item/2019/04/28/53/24/11/97/item_L_53241197_782b2f58d6d91.jpg
صلصة سريراتشا حارة من فلاينج جوس، 730 مل,85.00,https://cf1.s3.souqcdn.com/item/2019/10/02/73/02/67/79/item_L_73026779_7fd315519e69d.jpg
صلصة سريراتشا الحارة بالثوم من فلاينج جوس، 730 مل,87.00,https://cf5.s3.souqcdn.com/item/2019/10/02/73/02/67/91/item_L_73026791_29443d7cd6af4.jpg
أرز بني كامل من امتنان- 750 جم,32.00,https://cf1.s3.souqcdn.com/item/2018/06/27/36/16/70/62/item_L_36167062_142389181.jpg
مربى توت الغابه من هيرو - لايت، 320 جم,35.00,https://cf2.s3.souqcdn.com/item/2019/02/04/26/69/04/60/item_L_26690460_f01276baf5781.jpg
American Garden Classic Pizza Sauce - 397 gm,45.00,https://cf4.s3.souqcdn.com/item/2017/12/14/29/51/45/29/item_L_29514529_85746663.jpg
American Garden Mushroom Pasta Sauce - 397 gm,45.00,https://cf4.s3.souqcdn.com/item/2017/12/14/29/51/44/92/item_L_29514492_85746587.jpg
خل التفاح العضوي من فارفيلو - 500 مل,59.00,https://cf1.s3.souqcdn.com/item/2020/10/25/13/19/54/21/5/item_L_131954215_75ce0a000dbc8.jpg
صلصة الفلفل الاخضر الحار سريراتشا من فلاينج جوس، 200 مل,47.00,https://cf5.s3.souqcdn.com/item/2019/10/02/73/02/68/21/item_L_73026821_5bd31f3b09d40.jpg
صوص باربيكيو اوريجينال من هاينز - 570 جم,70.00,https://cf2.s3.souqcdn.com/item/2019/04/28/53/24/11/96/item_L_53241196_82e9fa791cd67.jpg
مربى قرع عسل بالقرفة ميكس من جاميز - 430 جم,38.00,https://cf3.s3.souqcdn.com/item/2020/10/06/13/18/77/58/3/item_L_131877583_09bca3245301e.jpg
El Sabor Guacomole Dip - 300 gm,92.00,https://cf2.s3.souqcdn.com/item/2018/03/11/32/37/94/04/item_L_32379404_118486200.jpg
برطمان فاصوليا من الوادي الخضر - 400 غم,11.50,https://cf5.s3.souqcdn.com/item/2017/02/14/21/98/11/79/item_L_21981179_28626562.jpg
El Sabor Salsa Dip - 315 gm,92.00,https://cf4.s3.souqcdn.com/item/2018/03/07/32/22/23/97/item_L_32222397_115978427.jpg
زيت قلي وطبخ من هدية - 1 لتر,20.00,https://cf2.s3.souqcdn.com/item/2018/04/29/33/61/60/71/item_L_33616071_131671055.jpg
ارز بسمتي من توليدو - 1 كجم,51.00,https://cf3.s3.souqcdn.com/item/2020/08/19/13/16/94/17/7/item_L_131694177_8cd5ca0091294.jpg
طماطم مجففة من ديسباك - 280 جرام,66.50,https://cf2.s3.souqcdn.com/item/2020/08/03/13/16/11/99/4/item_L_131611994_3b8bbfdd4355a.jpg
ارز بسمتي هندي من ريحانة - 1 كجم,54.50,https://cf2.s3.souqcdn.com/item/2020/10/26/13/19/61/25/5/item_L_131961255_b74a6ab6f6a1b.jpg
زيت قلي وطبخ من قلية - 1 لتر,20.50,https://cf1.s3.souqcdn.com/item/2018/04/29/33/61/60/72/item_L_33616072_131671062.jpg
خبز النحل  من امتنان- 170 جم,100.00,https://cf1.s3.souqcdn.com/item/2018/06/27/36/16/79/90/item_L_36167990_142390447.jpg
"تاباسكو صلصة الفلفل , 60 مل",34.50,https://cf2.s3.souqcdn.com/item/2018/04/16/11/74/34/49/item_L_11743449_130681404.jpg
أرز الياسمين من دريا - 1 كجم,54.00,https://cf2.s3.souqcdn.com/item/2018/10/03/39/15/75/23/item_L_39157523_152085050.jpg
صلصة الصويا من موجو - 1 لتر,45.00,https://cf4.s3.souqcdn.com/item/2020/03/23/12/20/57/89/9/item_L_122057899_6371c5c3236b4.jpg
توابل مختلطة من ابو علي - 40 جم,9.62,https://cf2.s3.souqcdn.com/item/2018/08/30/37/56/08/42/item_L_37560842_146349200.jpg
Kelloggs Rice Krispies Cereals Milk Bar - 20 gm,4.75,https://cf3.s3.souqcdn.com/item/2018/06/27/36/15/51/70/item_L_36155170_142369494.jpg
رقائق الشوفان الابيض من  هانيا - 500 جم,37.00,https://cf2.s3.souqcdn.com/item/2018/10/03/39/15/75/19/item_L_39157519_152085048.jpg
أرز بسمتي فاخر من  إيوان - 1 كجم,42.32,https://cf4.s3.souqcdn.com/item/2018/10/03/39/15/74/90/item_L_39157490_152085019.jpg
